NameSignature,PID_A,PID_B,ORCID_A,ORCID_B,Articles_A,Articles_B,Jaccard_Articles,Jaccard_Coauthors,EmailDomain_A,EmailDomain_B
DAVID JOHNSTON,ORCID:0000-0001-5114-5355,ORCID:0000-0002-9575-2277,ORCID:0000-0001-5114-5355,ORCID:0000-0002-9575-2277,2,2,1.0,1.0,,
CHEN HAO,ORCID:0000-0001-5902-1824,ORCID:0009-0001-6480-7976,ORCID:0000-0001-5902-1824,ORCID:0009-0001-6480-7976,2,1,0.5,0.625,,
CHRISTENSEN CLAYTON M,ORCID:0000-0001-5949-2749,OA:A5112614941,ORCID:0000-0001-5949-2749,,3,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-6821-1136,ORCID:0000-0001-6069-5690,ORCID:0000-0001-6821-1136,1,3,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-7472-7104,ORCID:0000-0001-6069-5690,ORCID:0000-0001-7472-7104,1,2,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-8997-2292,ORCID:0000-0001-6069-5690,ORCID:0000-0001-8997-2292,1,19,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9025-4060,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9025-4060,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9484-7517,ORCID:0000-0001-6069-5690,ORCID:0000-0001-9484-7517,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-0150-947X,ORCID:0000-0001-6069-5690,ORCID:0000-0002-0150-947X,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-2185-0341,ORCID:0000-0001-6069-5690,ORCID:0000-0002-2185-0341,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-3192-9491,ORCID:0000-0001-6069-5690,ORCID:0000-0002-3192-9491,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-5793-6091,ORCID:0000-0001-6069-5690,ORCID:0000-0002-5793-6091,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-7272-7554,ORCID:0000-0001-6069-5690,ORCID:0000-0002-7272-7554,1,1,1.0,1.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-8838-017X,ORCID:0000-0001-6069-5690,ORCID:0000-0002-8838-017X,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0002-9734-3354,ORCID:0000-0001-6069-5690,ORCID:0000-0002-9734-3354,1,2,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0003-2165-1067,ORCID:0000-0001-6069-5690,ORCID:0000-0003-2165-1067,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0000-0003-4485-668X,ORCID:0000-0001-6069-5690,ORCID:0000-0003-4485-668X,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,ORCID:0009-0009-4049-7844,ORCID:0000-0001-6069-5690,ORCID:0009-0009-4049-7844,1,2,0.0,0.0,,
,ORCID:0000-0001-6069-5690,OA:A5042761321,ORCID:0000-0001-6069-5690,,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,OA:A5050095449,ORCID:0000-0001-6069-5690,,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,OA:A5108230379,ORCID:0000-0001-6069-5690,,1,2,0.0,0.0,,
,ORCID:0000-0001-6069-5690,OA:A5109041000,ORCID:0000-0001-6069-5690,,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,NAME:NULL|,ORCID:0000-0001-6069-5690,,1,1,0.0,0.0,,
,ORCID:0000-0001-6069-5690,NAME:|,ORCID:0000-0001-6069-5690,,1,2,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0001-7472-7104,ORCID:0000-0001-6821-1136,ORCID:0000-0001-7472-7104,3,2,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0001-8997-2292,ORCID:0000-0001-6821-1136,ORCID:0000-0001-8997-2292,3,19,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0001-9025-4060,ORCID:0000-0001-6821-1136,ORCID:0000-0001-9025-4060,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0001-9484-7517,ORCID:0000-0001-6821-1136,ORCID:0000-0001-9484-7517,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0002-0150-947X,ORCID:0000-0001-6821-1136,ORCID:0000-0002-0150-947X,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0002-2185-0341,ORCID:0000-0001-6821-1136,ORCID:0000-0002-2185-0341,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0002-3192-9491,ORCID:0000-0001-6821-1136,ORCID:0000-0002-3192-9491,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0002-5793-6091,ORCID:0000-0001-6821-1136,ORCID:0000-0002-5793-6091,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0002-7272-7554,ORCID:0000-0001-6821-1136,ORCID:0000-0002-7272-7554,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0002-8838-017X,ORCID:0000-0001-6821-1136,ORCID:0000-0002-8838-017X,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0002-9734-3354,ORCID:0000-0001-6821-1136,ORCID:0000-0002-9734-3354,3,2,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0003-2165-1067,ORCID:0000-0001-6821-1136,ORCID:0000-0003-2165-1067,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0000-0003-4485-668X,ORCID:0000-0001-6821-1136,ORCID:0000-0003-4485-668X,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,ORCID:0009-0009-4049-7844,ORCID:0000-0001-6821-1136,ORCID:0009-0009-4049-7844,3,2,0.0,0.0,,
,ORCID:0000-0001-6821-1136,OA:A5042761321,ORCID:0000-0001-6821-1136,,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,OA:A5050095449,ORCID:0000-0001-6821-1136,,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,OA:A5108230379,ORCID:0000-0001-6821-1136,,3,2,0.0,0.0,,
,ORCID:0000-0001-6821-1136,OA:A5109041000,ORCID:0000-0001-6821-1136,,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,NAME:NULL|,ORCID:0000-0001-6821-1136,,3,1,0.0,0.0,,
,ORCID:0000-0001-6821-1136,NAME:|,ORCID:0000-0001-6821-1136,,3,2,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0001-8997-2292,ORCID:0000-0001-7472-7104,ORCID:0000-0001-8997-2292,2,19,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0001-9025-4060,ORCID:0000-0001-7472-7104,ORCID:0000-0001-9025-4060,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0001-9484-7517,ORCID:0000-0001-7472-7104,ORCID:0000-0001-9484-7517,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0002-0150-947X,ORCID:0000-0001-7472-7104,ORCID:0000-0002-0150-947X,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0002-2185-0341,ORCID:0000-0001-7472-7104,ORCID:0000-0002-2185-0341,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0002-3192-9491,ORCID:0000-0001-7472-7104,ORCID:0000-0002-3192-9491,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0002-5793-6091,ORCID:0000-0001-7472-7104,ORCID:0000-0002-5793-6091,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0002-7272-7554,ORCID:0000-0001-7472-7104,ORCID:0000-0002-7272-7554,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0002-8838-017X,ORCID:0000-0001-7472-7104,ORCID:0000-0002-8838-017X,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0002-9734-3354,ORCID:0000-0001-7472-7104,ORCID:0000-0002-9734-3354,2,2,1.0,1.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0003-2165-1067,ORCID:0000-0001-7472-7104,ORCID:0000-0003-2165-1067,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0000-0003-4485-668X,ORCID:0000-0001-7472-7104,ORCID:0000-0003-4485-668X,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,ORCID:0009-0009-4049-7844,ORCID:0000-0001-7472-7104,ORCID:0009-0009-4049-7844,2,2,0.0,0.0,,
,ORCID:0000-0001-7472-7104,OA:A5042761321,ORCID:0000-0001-7472-7104,,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,OA:A5050095449,ORCID:0000-0001-7472-7104,,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,OA:A5108230379,ORCID:0000-0001-7472-7104,,2,2,0.0,0.0,,
,ORCID:0000-0001-7472-7104,OA:A5109041000,ORCID:0000-0001-7472-7104,,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,NAME:NULL|,ORCID:0000-0001-7472-7104,,2,1,0.0,0.0,,
,ORCID:0000-0001-7472-7104,NAME:|,ORCID:0000-0001-7472-7104,,2,2,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0001-9025-4060,ORCID:0000-0001-8997-2292,ORCID:0000-0001-9025-4060,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0001-9484-7517,ORCID:0000-0001-8997-2292,ORCID:0000-0001-9484-7517,19,1,0.053,0.075,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0002-0150-947X,ORCID:0000-0001-8997-2292,ORCID:0000-0002-0150-947X,19,1,0.0,0.018,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0002-2185-0341,ORCID:0000-0001-8997-2292,ORCID:0000-0002-2185-0341,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0002-3192-9491,ORCID:0000-0001-8997-2292,ORCID:0000-0002-3192-9491,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0002-5793-6091,ORCID:0000-0001-8997-2292,ORCID:0000-0002-5793-6091,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0002-7272-7554,ORCID:0000-0001-8997-2292,ORCID:0000-0002-7272-7554,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0002-8838-017X,ORCID:0000-0001-8997-2292,ORCID:0000-0002-8838-017X,19,1,0.053,0.075,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0002-9734-3354,ORCID:0000-0001-8997-2292,ORCID:0000-0002-9734-3354,19,2,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0003-2165-1067,ORCID:0000-0001-8997-2292,ORCID:0000-0003-2165-1067,19,1,0.053,0.094,,
,ORCID:0000-0001-8997-2292,ORCID:0000-0003-4485-668X,ORCID:0000-0001-8997-2292,ORCID:0000-0003-4485-668X,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,ORCID:0009-0009-4049-7844,ORCID:0000-0001-8997-2292,ORCID:0009-0009-4049-7844,19,2,0.0,0.0,,
,ORCID:0000-0001-8997-2292,OA:A5042761321,ORCID:0000-0001-8997-2292,,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,OA:A5050095449,ORCID:0000-0001-8997-2292,,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,OA:A5108230379,ORCID:0000-0001-8997-2292,,19,2,0.105,0.094,,
,ORCID:0000-0001-8997-2292,OA:A5109041000,ORCID:0000-0001-8997-2292,,19,1,0.053,0.075,,
,ORCID:0000-0001-8997-2292,NAME:NULL|,ORCID:0000-0001-8997-2292,,19,1,0.0,0.0,,
,ORCID:0000-0001-8997-2292,NAME:|,ORCID:0000-0001-8997-2292,,19,2,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0001-9484-7517,ORCID:0000-0001-9025-4060,ORCID:0000-0001-9484-7517,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0002-0150-947X,ORCID:0000-0001-9025-4060,ORCID:0000-0002-0150-947X,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0002-2185-0341,ORCID:0000-0001-9025-4060,ORCID:0000-0002-2185-0341,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0002-3192-9491,ORCID:0000-0001-9025-4060,ORCID:0000-0002-3192-9491,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0002-5793-6091,ORCID:0000-0001-9025-4060,ORCID:0000-0002-5793-6091,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0002-7272-7554,ORCID:0000-0001-9025-4060,ORCID:0000-0002-7272-7554,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0002-8838-017X,ORCID:0000-0001-9025-4060,ORCID:0000-0002-8838-017X,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0002-9734-3354,ORCID:0000-0001-9025-4060,ORCID:0000-0002-9734-3354,1,2,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0003-2165-1067,ORCID:0000-0001-9025-4060,ORCID:0000-0003-2165-1067,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0000-0003-4485-668X,ORCID:0000-0001-9025-4060,ORCID:0000-0003-4485-668X,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,ORCID:0009-0009-4049-7844,ORCID:0000-0001-9025-4060,ORCID:0009-0009-4049-7844,1,2,0.0,0.0,,
,ORCID:0000-0001-9025-4060,OA:A5042761321,ORCID:0000-0001-9025-4060,,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,OA:A5050095449,ORCID:0000-0001-9025-4060,,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,OA:A5108230379,ORCID:0000-0001-9025-4060,,1,2,0.0,0.0,,
,ORCID:0000-0001-9025-4060,OA:A5109041000,ORCID:0000-0001-9025-4060,,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,NAME:NULL|,ORCID:0000-0001-9025-4060,,1,1,0.0,0.0,,
,ORCID:0000-0001-9025-4060,NAME:|,ORCID:0000-0001-9025-4060,,1,2,0.0,0.0,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0002-0150-947X,ORCID:0000-0001-9484-7517,ORCID:0000-0002-0150-947X,1,1,0.0,0.167,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0002-2185-0341,ORCID:0000-0001-9484-7517,ORCID:0000-0002-2185-0341,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0002-3192-9491,ORCID:0000-0001-9484-7517,ORCID:0000-0002-3192-9491,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0002-5793-6091,ORCID:0000-0001-9484-7517,ORCID:0000-0002-5793-6091,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0002-7272-7554,ORCID:0000-0001-9484-7517,ORCID:0000-0002-7272-7554,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0002-8838-017X,ORCID:0000-0001-9484-7517,ORCID:0000-0002-8838-017X,1,1,1.0,1.0,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0002-9734-3354,ORCID:0000-0001-9484-7517,ORCID:0000-0002-9734-3354,1,2,0.0,0.0,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0003-2165-1067,ORCID:0000-0001-9484-7517,ORCID:0000-0003-2165-1067,1,1,0.0,0.125,,
,ORCID:0000-0001-9484-7517,ORCID:0000-0003-4485-668X,ORCID:0000-0001-9484-7517,ORCID:0000-0003-4485-668X,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,ORCID:0009-0009-4049-7844,ORCID:0000-0001-9484-7517,ORCID:0009-0009-4049-7844,1,2,0.0,0.0,,
,ORCID:0000-0001-9484-7517,OA:A5042761321,ORCID:0000-0001-9484-7517,,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,OA:A5050095449,ORCID:0000-0001-9484-7517,,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,OA:A5108230379,ORCID:0000-0001-9484-7517,,1,2,0.0,0.125,,
,ORCID:0000-0001-9484-7517,OA:A5109041000,ORCID:0000-0001-9484-7517,,1,1,0.0,0.143,,
,ORCID:0000-0001-9484-7517,NAME:NULL|,ORCID:0000-0001-9484-7517,,1,1,0.0,0.0,,
,ORCID:0000-0001-9484-7517,NAME:|,ORCID:0000-0001-9484-7517,,1,2,0.0,0.0,,
,ORCID:0000-0002-0150-947X,ORCID:0000-0002-2185-0341,ORCID:0000-0002-0150-947X,ORCID:0000-0002-2185-0341,1,1,0.0,0.0,,
,ORCID:0000-0002-0150-947X,ORCID:0000-0002-3192-9491,ORCID:0000-0002-0150-947X,ORCID:0000-0002-3192-9491,1,1,0.0,0.0,,
